"Mesure","Claude style Duras","Claude style Fourth Wing","Autobiographie des objets","Prison","Sortie d'usine","L'Éducation Sentimentale","Madame Bovary","Salammbô","Trois contes","LES CARACTÈRES","Cherokee","Courir","Des éclairs","L'équipée malaise","Lac","Ravel","Vie de Gérard Fulmard","Le créateur chimérique","Les maîtres-feu","Les olympiades truquées.","Pollen","La Princesse de Clèves","Du côté de chez Swan","Le temps retrouvé","L'Été 80","Le Ravissement de Lol V. Stein","L’Amant","Un barrage contre le Pacifique","Anéantir","Extension du domaine de la lutte","La Carte et le Territoire","La possibilité d'une île","Les particules élémentaires","Plateforme","Soumission","Motel Valparaiso","487 000 signes 473","487 000 signes 473","Ginkoo-Bilooba, chronique d'une utopie modeste","Nouvelles horroristiques","Nouvelles humouristiques","J'écris l'Iliade","La Grande Beune","Les deux Beune","Vies minuscules","Fourth wing - Tome 1","Comme elle l'imagine","Un puma dans le coeur","Clitoria","La Quatrième Théorie","Le Code Houellebecq","Le geste qui sauve","L’expérience humaine","Mon père, ce tueur","Rush","Résistants","Ératosthène","σ ?"
"Dialogue ?","35 %","30 %","0 %","14 %","1 %","19 %","24 %","0 %","6 %","3 %","22 %","0 %","0 %","15 %","13 %","0 %","0 %","36 %","33 %","31 %","25 %","39 %","22 %","18 %","0 %","15 %","0 %","29 %","23 %","8 %","22 %","11 %","14 %","18 %","22 %","21 %","22 %","17 %","14 %","16 %","9 %","1 %","0 %","1 %","0 %","40 %","17 %","4 %","14 %","34 %","9 %","10 %","5 %","6 %","1 %","25 %","19 %","80.2 %"
"Présent gnomique ?","19 %","14 %","8 %","10 %","11 %","0 %","2 %","2 %","0 %","13 %","3 %","16 %","18 %","7 %","12 %","18 %","11 %","0 %","1 %","7 %","4 %","3 %","4 %","3 %","18 %","1 %","4 %","1 %","2 %","11 %","4 %","10 %","5 %","5 %","12 %","5 %","7 %","13 %","14 %","10 %","6 %","5 %","9 %","9 %","10 %","12 %","2 %","16 %","20 %","4 %","1 %","17 %","23 %","2 %","8 %","6 %","21 %","74.1 %"
"Redondance locale des trigrammes ?","1 %","1 %","0 %","1 %","0 %","0 %","0 %","0 %","0 %","1 %","0 %","1 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","1 %","1 %","1 %","1 %","1 %","2 %","1 %","0 %","1 %","1 %","1 %","1 %","1 %","1 %","0 %","1 %","1 %","1 %","1 %","1 %","1 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","1 %","0 %","0 %","0 %","0 %","0 %","0 %","71.9 %"
"Verbes de réaction affective ?","1 %","1 %","0 %","1 %","0 %","2 %","1 %","2 %","1 %","0 %","1 %","1 %","0 %","0 %","1 %","1 %","0 %","1 %","1 %","1 %","2 %","0 %","1 %","1 %","2 %","1 %","0 %","2 %","0 %","1 %","1 %","0 %","1 %","1 %","0 %","1 %","0 %","0 %","0 %","1 %","1 %","1 %","3 %","2 %","1 %","1 %","1 %","0 %","0 %","1 %","2 %","0 %","0 %","0 %","1 %","1 %","2 %","71.9 %"
"Taux de modalité généralisante ?","1 %","1 %","0 %","1 %","2 %","1 %","1 %","1 %","1 %","1 %","0 %","0 %","0 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","0 %","0 %","1 %","1 %","1 %","1 %","0 %","0 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","0 %","1 %","0 %","0 %","0 %","2 %","0 %","1 %","0 %","1 %","0 %","70.1 %"
"Densité de participes présents ?","0 %","0 %","1 %","1 %","0 %","1 %","1 %","1 %","1 %","0 %","1 %","1 %","2 %","2 %","1 %","2 %","2 %","1 %","1 %","1 %","1 %","0 %","1 %","1 %","0 %","0 %","0 %","0 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","0 %","0 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","1 %","0 %","0 %","0 %","0 %","0 %","1 %","0 %","1 %","0 %","54.6 %"
"Densité de métaphores ?","6 %","17 %","4 %","12 %","10 %","5 %","11 %","8 %","7 %","4 %","12 %","8 %","6 %","7 %","10 %","13 %","5 %","2 %","4 %","2 %","3 %","4 %","18 %","15 %","9 %","4 %","8 %","6 %","5 %","5 %","6 %","5 %","2 %","1 %","8 %","3 %","6 %","9 %","3 %","8 %","2 %","9 %","12 %","10 %","9 %","3 %","4 %","6 %","5 %","2 %","4 %","3 %","2 %","5 %","5 %","4 %","3 %","52.2 %"
"Taux de marqueurs de sommaire ?","8 %","14 %","9 %","7 %","7 %","2 %","4 %","2 %","3 %","8 %","3 %","7 %","11 %","5 %","5 %","12 %","5 %","3 %","3 %","3 %","3 %","9 %","11 %","7 %","6 %","5 %","9 %","7 %","8 %","4 %","7 %","8 %","6 %","5 %","8 %","5 %","3 %","4 %","4 %","3 %","6 %","4 %","6 %","6 %","12 %","3 %","5 %","5 %","5 %","2 %","4 %","5 %","6 %","5 %","4 %","3 %","3 %","44.6 %"
"Densité d'incises ?","3 %","5 %","8 %","14 %","8 %","7 %","15 %","8 %","6 %","6 %","20 %","6 %","11 %","20 %","19 %","21 %","14 %","10 %","5 %","10 %","8 %","5 %","16 %","10 %","6 %","8 %","4 %","11 %","4 %","2 %","6 %","5 %","7 %","6 %","9 %","4 %","8 %","4 %","5 %","8 %","9 %","6 %","7 %","6 %","12 %","5 %","6 %","4 %","10 %","3 %","4 %","8 %","6 %","10 %","8 %","3 %","5 %","43.7 %"
"Densité de noms propres ?","1 %","1 %","2 %","2 %","1 %","3 %","1 %","2 %","4 %","2 %","4 %","2 %","3 %","5 %","4 %","4 %","2 %","5 %","3 %","3 %","4 %","4 %","2 %","3 %","2 %","6 %","1 %","2 %","3 %","2 %","3 %","1 %","3 %","2 %","3 %","2 %","4 %","4 %","4 %","2 %","2 %","2 %","2 %","2 %","1 %","2 %","4 %","3 %","3 %","5 %","3 %","4 %","2 %","2 %","3 %","2 %","3 %","43.2 %"
"Connecteurs temporels ?","10 %","21 %","27 %","34 %","25 %","12 %","15 %","15 %","15 %","14 %","17 %","26 %","34 %","19 %","27 %","33 %","25 %","10 %","9 %","9 %","10 %","17 %","27 %","23 %","11 %","10 %","14 %","13 %","24 %","14 %","21 %","25 %","16 %","14 %","22 %","15 %","11 %","14 %","13 %","14 %","13 %","12 %","23 %","20 %","28 %","11 %","15 %","12 %","12 %","5 %","10 %","11 %","13 %","12 %","11 %","9 %","7 %","42.3 %"
"Redondance globale des trigrammes ?","3 %","4 %","2 %","3 %","2 %","1 %","1 %","1 %","1 %","2 %","1 %","2 %","1 %","1 %","1 %","1 %","1 %","1 %","2 %","1 %","2 %","6 %","2 %","2 %","4 %","4 %","4 %","4 %","2 %","2 %","2 %","2 %","2 %","2 %","3 %","2 %","3 %","2 %","4 %","3 %","3 %","2 %","2 %","2 %","1 %","3 %","1 %","2 %","1 %","2 %","3 %","2 %","1 %","2 %","2 %","2 %","2 %","42.2 %"
