"Mesure","Claude style Duras","Claude style Fourth Wing","Autobiographie des objets","Prison","Sortie d'usine","L'Éducation Sentimentale","Madame Bovary","Salammbô","Trois contes","LES CARACTÈRES","Cherokee","Courir","Des éclairs","L'équipée malaise","Lac","Ravel","Vie de Gérard Fulmard","Le créateur chimérique","Les maîtres-feu","Les olympiades truquées.","Pollen","La Princesse de Clèves","Du côté de chez Swan","Le temps retrouvé","L'Été 80","Le Ravissement de Lol V. Stein","L’Amant","Un barrage contre le Pacifique","Anéantir","Extension du domaine de la lutte","La Carte et le Territoire","La possibilité d'une île","Les particules élémentaires","Plateforme","Soumission","Motel Valparaiso","487 000 signes 473","487 000 signes 473","Ginkoo-Bilooba, chronique d'une utopie modeste","Nouvelles horroristiques","Nouvelles humouristiques","J'écris l'Iliade","La Grande Beune","Les deux Beune","Vies minuscules","Fourth wing - Tome 1","Comme elle l'imagine","Un puma dans le coeur","Clitoria","La Quatrième Théorie","Le Code Houellebecq","Le geste qui sauve","L’expérience humaine","Mon père, ce tueur","Rush","Résistants","Ératosthène","σ ?"
"Densité de ponctuations ?","21.5","18.5","16.4","14.1","15.8","25.6","22.1","20.2","23.3","17.1","19.9","15.5","14.6","18.9","17.0","14.6","16.3","16.4","18.0","18.3","19.0","13.1","16.5","15.8","19.1","21.8","16.7","18.0","18.2","19.2","18.7","16.7","17.7","19.5","17.8","18.7","22.6","22.1","23.1","21.6","22.3","20.0","15.4","16.7","16.9","18.3","17.0","15.6","15.0","22.9","17.5","20.8","19.4","17.7","16.7","17.3","18.9","13.5 %"
"Densité des adjectifs ?","13 %","14 %","14 %","13 %","12 %","12 %","13 %","14 %","11 %","17 %","15 %","14 %","15 %","15 %","16 %","14 %","14 %","15 %","15 %","17 %","12 %","13 %","16 %","15 %","13 %","12 %","12 %","11 %","18 %","15 %","15 %","16 %","16 %","13 %","17 %","10 %","16 %","14 %","14 %","13 %","14 %","14 %","15 %","15 %","18 %","14 %","14 %","11 %","16 %","10 %","15 %","15 %","15 %","12 %","15 %","12 %","14 %","13.2 %"
"Modificateurs par nom ?","0.5","0.6","0.6","0.6","0.6","0.5","0.5","0.6","0.5","0.5","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.5","0.5","0.6","0.4","0.5","0.6","0.6","0.5","0.4","0.5","0.5","0.7","0.6","0.6","0.6","0.6","0.5","0.6","0.4","0.5","0.6","0.6","0.5","0.5","0.6","0.6","0.6","0.6","0.4","0.5","0.5","0.6","0.4","0.6","0.5","0.5","0.5","0.6","0.5","0.5","11.6 %"
"Diversité syntaxique ?","42 %","57 %","59 %","65 %","60 %","55 %","62 %","58 %","57 %","59 %","60 %","60 %","62 %","55 %","60 %","63 %","62 %","50 %","48 %","50 %","46 %","61 %","62 %","62 %","57 %","54 %","51 %","54 %","56 %","50 %","56 %","56 %","51 %","49 %","62 %","48 %","53 %","53 %","51 %","51 %","56 %","56 %","63 %","62 %","68 %","49 %","52 %","51 %","52 %","43 %","52 %","51 %","51 %","52 %","54 %","46 %","48 %","10.5 %"
"Diversité des débuts de phrase ?","30 %","37 %","26 %","21 %","16 %","23 %","23 %","28 %","27 %","18 %","30 %","19 %","14 %","22 %","10 %","21 %","13 %","23 %","20 %","18 %","20 %","43 %","18 %","26 %","28 %","30 %","34 %","31 %","20 %","18 %","31 %","20 %","21 %","29 %","16 %","28 %","16 %","22 %","17 %","31 %","23 %","27 %","25 %","25 %","28 %","23 %","25 %","18 %","29 %","27 %","43 %","23 %","30 %","32 %","30 %","30 %","42 %","28.4 %"
"Rareté lexicale ?","50 %","52 %","57 %","52 %","47 %","48 %","51 %","50 %","50 %","62 %","52 %","59 %","55 %","56 %","56 %","55 %","57 %","63 %","55 %","59 %","57 %","59 %","58 %","61 %","47 %","64 %","51 %","49 %","65 %","51 %","54 %","58 %","54 %","59 %","63 %","57 %","65 %","62 %","63 %","48 %","53 %","56 %","51 %","52 %","52 %","51 %","60 %","58 %","56 %","64 %","63 %","61 %","51 %","57 %","58 %","60 %","53 %","9.0 %"
"Densité des noms ?","48 %","46 %","52 %","57 %","50 %","56 %","53 %","58 %","61 %","44 %","53 %","43 %","50 %","53 %","56 %","53 %","49 %","57 %","53 %","51 %","58 %","50 %","51 %","49 %","50 %","46 %","43 %","49 %","55 %","46 %","49 %","46 %","54 %","54 %","52 %","51 %","53 %","58 %","59 %","52 %","55 %","52 %","49 %","50 %","51 %","55 %","61 %","58 %","55 %","55 %","53 %","59 %","58 %","50 %","56 %","49 %","57 %","8.4 %"
"Alternance structurelle ?","43 %","59 %","53 %","57 %","56 %","51 %","56 %","54 %","54 %","76 %","54 %","52 %","51 %","49 %","51 %","55 %","48 %","48 %","48 %","52 %","48 %","52 %","63 %","59 %","56 %","52 %","53 %","50 %","45 %","52 %","49 %","53 %","49 %","49 %","52 %","46 %","58 %","54 %","52 %","50 %","59 %","53 %","56 %","49 %","62 %","53 %","57 %","52 %","48 %","46 %","49 %","50 %","53 %","49 %","50 %","44 %","48 %","7.3 %"
"Répétition sonore ?","21 %","21 %","22 %","19 %","22 %","20 %","20 %","19 %","20 %","21 %","21 %","23 %","23 %","23 %","23 %","20 %","20 %","22 %","21 %","21 %","20 %","23 %","20 %","20 %","19 %","19 %","20 %","23 %","22 %","22 %","22 %","24 %","22 %","21 %","23 %","22 %","20 %","19 %","22 %","21 %","21 %","18 %","19 %","19 %","20 %","19 %","21 %","20 %","20 %","18 %","17 %","22 %","21 %","19 %","23 %","16 %","19 %","7.2 %"
"Redondance lexicale brute ?","59 %","59 %","55 %","58 %","55 %","49 %","52 %","51 %","48 %","63 %","52 %","56 %","51 %","49 %","49 %","51 %","49 %","51 %","52 %","51 %","55 %","66 %","59 %","60 %","58 %","62 %","66 %","63 %","52 %","54 %","55 %","53 %","50 %","53 %","53 %","56 %","54 %","52 %","51 %","56 %","57 %","54 %","55 %","55 %","51 %","56 %","52 %","53 %","50 %","52 %","54 %","51 %","50 %","55 %","52 %","52 %","50 %","6.6 %"
"Densité lexicale ?","41 %","41 %","38 %","39 %","37 %","36 %","38 %","39 %","36 %","42 %","34 %","37 %","36 %","33 %","33 %","34 %","36 %","34 %","34 %","33 %","35 %","39 %","40 %","39 %","39 %","36 %","40 %","36 %","32 %","38 %","35 %","36 %","35 %","37 %","35 %","37 %","36 %","37 %","37 %","36 %","36 %","36 %","38 %","37 %","36 %","38 %","35 %","37 %","39 %","35 %","38 %","36 %","36 %","40 %","36 %","39 %","39 %","5.8 %"
"Redondance lexicale locale ?","82 %","83 %","87 %","85 %","83 %","88 %","90 %","93 %","92 %","79 %","79 %","83 %","88 %","89 %","88 %","89 %","89 %","91 %","90 %","89 %","89 %","78 %","87 %","84 %","82 %","86 %","72 %","76 %","87 %","84 %","83 %","84 %","90 %","87 %","85 %","86 %","82 %","85 %","81 %","77 %","80 %","89 %","87 %","85 %","90 %","89 %","91 %","88 %","91 %","91 %","92 %","88 %","90 %","90 %","88 %","93 %","93 %","4.9 %"
"Taux d'hapax ?","62 %","63 %","71 %","63 %","68 %","72 %","73 %","72 %","75 %","66 %","72 %","69 %","72 %","75 %","72 %","71 %","76 %","72 %","74 %","76 %","68 %","60 %","67 %","68 %","69 %","66 %","59 %","63 %","71 %","72 %","70 %","72 %","71 %","72 %","72 %","69 %","72 %","71 %","73 %","67 %","67 %","70 %","68 %","68 %","73 %","66 %","71 %","73 %","76 %","69 %","73 %","74 %","73 %","72 %","75 %","71 %","74 %","4.8 %"
"Mots émotionnels ?","52 %","51 %","47 %","48 %","48 %","52 %","54 %","54 %","52 %","49 %","51 %","48 %","51 %","49 %","52 %","49 %","48 %","50 %","51 %","49 %","53 %","48 %","48 %","47 %","48 %","43 %","47 %","48 %","47 %","50 %","50 %","48 %","52 %","50 %","46 %","51 %","45 %","48 %","46 %","51 %","50 %","48 %","49 %","49 %","51 %","54 %","50 %","50 %","52 %","48 %","49 %","50 %","53 %","51 %","50 %","50 %","52 %","4.2 %"
"Noms concrets ?","94 %","95 %","90 %","97 %","94 %","96 %","94 %","97 %","94 %","89 %","96 %","91 %","88 %","92 %","95 %","95 %","89 %","84 %","88 %","88 %","92 %","88 %","90 %","89 %","93 %","88 %","93 %","93 %","86 %","85 %","88 %","86 %","87 %","87 %","78 %","93 %","89 %","93 %","92 %","97 %","94 %","96 %","97 %","97 %","93 %","92 %","89 %","91 %","89 %","94 %","86 %","88 %","93 %","89 %","88 %","93 %","91 %","3.8 %"
"Négations complètes ?","96 %","100 %","100 %","63 %","91 %","100 %","100 %","100 %","100 %","100 %","100 %","100 %","100 %","100 %","100 %","100 %","90 %","80 %","100 %","100 %","91 %","100 %","100 %","93 %","96 %","96 %","94 %","90 %","100 %","100 %","100 %","100 %","100 %","83 %","100 %","100 %","100 %","100 %","89 %","91 %","75 %","100 %","100 %","100 %","100 %","100 %","100 %","100 %","100 %","100 %","100 %","100 %","100 %","100 %","100 %","100 %","100 %","3.1 %"
"Compressibilité gzip ?","41 %","41 %","43 %","41 %","43 %","43 %","43 %","42 %","44 %","40 %","43 %","42 %","43 %","44 %","44 %","44 %","45 %","43 %","43 %","45 %","42 %","38 %","41 %","41 %","41 %","40 %","39 %","39 %","42 %","44 %","42 %","43 %","43 %","43 %","43 %","42 %","44 %","45 %","44 %","43 %","44 %","43 %","42 %","42 %","43 %","42 %","43 %","43 %","43 %","44 %","42 %","44 %","44 %","43 %","43 %","43 %","44 %","2.9 %"
"Minimalisme flexionnel ?","0.86","0.86","0.86","0.87","0.87","0.83","0.83","0.80","0.83","0.89","0.87","0.88","0.88","0.87","0.88","0.87","0.88","0.89","0.87","0.87","0.90","0.92","0.89","0.91","0.87","0.97","0.94","0.94","0.89","0.85","0.88","0.87","0.85","0.89","0.88","0.90","0.89","0.85","0.84","0.87","0.90","0.88","0.87","0.87","0.86","0.88","0.88","0.86","0.81","0.87","0.85","0.85","0.85","0.84","0.85","0.84","0.80","2.5 %"
"Sujets personnels ?","99 %","100 %","100 %","99 %","92 %","99 %","99 %","99 %","99 %","99 %","99 %","100 %","99 %","100 %","98 %","100 %","100 %","98 %","99 %","99 %","99 %","99 %","98 %","98 %","96 %","99 %","99 %","100 %","99 %","98 %","100 %","98 %","99 %","99 %","99 %","99 %","100 %","99 %","98 %","100 %","100 %","100 %","97 %","98 %","98 %","100 %","99 %","99 %","100 %","99 %","99 %","99 %","99 %","100 %","99 %","99 %","100 %","0.7 %"
"Longueur des chaînes adjectivales ?","0.0","2.0","2.0","2.0","2.0","2.0","0.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","2.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.2","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.2","2.0","2.0","0.0","2.0","2.1","2.1","2.0","2.0","2.0","2.0","0.0","0.0","2.0","2.0","2.0","2.0","2.0","0.0","2.0","0.0 %"
"Constructions exclamatives ?","0 %","0 %","0 %","0 %","0 %","0 %","1 %","0 %","0 %","1 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","1 %","0 %","1 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","—"
