"Mesure","Claude style Duras","Claude style Fourth Wing","Autobiographie des objets","Prison","Sortie d'usine","L'Éducation Sentimentale","Madame Bovary","Salammbô","Trois contes","LES CARACTÈRES","Cherokee","Courir","Des éclairs","L'équipée malaise","Lac","Ravel","Vie de Gérard Fulmard","Le créateur chimérique","Les maîtres-feu","Les olympiades truquées.","Pollen","La Princesse de Clèves","Du côté de chez Swan","Le temps retrouvé","L'Été 80","Le Ravissement de Lol V. Stein","L’Amant","Un barrage contre le Pacifique","Anéantir","Extension du domaine de la lutte","La Carte et le Territoire","La possibilité d'une île","Les particules élémentaires","Plateforme","Soumission","Motel Valparaiso","487 000 signes 473","487 000 signes 473","Ginkoo-Bilooba, chronique d'une utopie modeste","Nouvelles horroristiques","Nouvelles humouristiques","J'écris l'Iliade","La Grande Beune","Les deux Beune","Vies minuscules","Fourth wing - Tome 1","Comme elle l'imagine","Un puma dans le coeur","Clitoria","La Quatrième Théorie","Le Code Houellebecq","Le geste qui sauve","L’expérience humaine","Mon père, ce tueur","Rush","Résistants","Ératosthène","σ ?"
"Classique ?","24 %","25 %","41 %","30 %","35 %","59 %","68 %","56 %","64 %","33 %","43 %","30 %","24 %","55 %","41 %","33 %","41 %","42 %","43 %","33 %","39 %","51 %","34 %","33 %","29 %","37 %","39 %","46 %","29 %","32 %","34 %","35 %","43 %","29 %","32 %","30 %","4 %","30 %","22 %","44 %","34 %","46 %","52 %","50 %","56 %","11 %","37 %","28 %","32 %","44 %","41 %","29 %","30 %","41 %","28 %","28 %","31 %","26.2 %"
"Maximaliste ?","34 %","66 %","57 %","75 %","60 %","38 %","46 %","50 %","39 %","51 %","63 %","52 %","64 %","48 %","62 %","75 %","56 %","32 %","45 %","45 %","27 %","52 %","67 %","63 %","47 %","39 %","42 %","38 %","54 %","47 %","55 %","51 %","41 %","34 %","77 %","30 %","47 %","54 %","46 %","42 %","37 %","48 %","73 %","68 %","78 %","30 %","40 %","45 %","40 %","23 %","41 %","47 %","34 %","36 %","48 %","29 %","32 %","27.9 %"
"Narratif ?","36 %","37 %","30 %","37 %","29 %","44 %","47 %","39 %","41 %","17 %","45 %","36 %","41 %","39 %","46 %","39 %","30 %","36 %","36 %","32 %","36 %","45 %","32 %","30 %","23 %","29 %","20 %","47 %","26 %","21 %","34 %","29 %","33 %","30 %","29 %","33 %","20 %","31 %","21 %","36 %","24 %","22 %","36 %","31 %","35 %","33 %","33 %","27 %","38 %","38 %","27 %","25 %","29 %","26 %","26 %","32 %","36 %","22.1 %"
"Émotionnel ?","22 %","12 %","0 %","14 %","0 %","62 %","52 %","68 %","62 %","21 %","26 %","12 %","4 %","8 %","16 %","10 %","8 %","19 %","29 %","38 %","57 %","4 %","54 %","25 %","47 %","22 %","2 %","35 %","6 %","24 %","12 %","10 %","24 %","26 %","4 %","23 %","53 %","20 %","16 %","35 %","32 %","18 %","55 %","49 %","16 %","33 %","56 %","12 %","10 %","27 %","35 %","8 %","10 %","10 %","14 %","31 %","50 %","71.4 %"
"Discursif ?","42 %","45 %","47 %","45 %","42 %","19 %","25 %","27 %","25 %","55 %","30 %","58 %","84 %","34 %","40 %","58 %","52 %","32 %","34 %","35 %","22 %","39 %","38 %","42 %","47 %","26 %","28 %","20 %","39 %","45 %","37 %","59 %","38 %","35 %","62 %","25 %","41 %","44 %","42 %","32 %","33 %","25 %","40 %","37 %","68 %","38 %","25 %","47 %","55 %","21 %","28 %","48 %","49 %","26 %","35 %","27 %","47 %","29.7 %"
